departamento,dia_semana,accidentes
Guatemala,lunes,447
El Progreso,lunes,21
Sacatepéquez,lunes,45
Chimaltenango,lunes,37
Escuintla,lunes,163
Santa Rosa,lunes,37
Sololá,lunes,13
Totonicapán,lunes,3
Quetzaltenango,lunes,34
Suchitepéquez,lunes,24
Retalhuleu,lunes,32
San Marcos,lunes,22
Huehuetenango,lunes,17
Quiché,lunes,29
Baja Verapaz,lunes,21
Alta Verapaz,lunes,47
Petén,lunes,33
Izabal,lunes,41
Zacapa,lunes,15
Chiquimula,lunes,16
Jalapa,lunes,11
Jutiapa,lunes,33
Guatemala,martes,382
El Progreso,martes,22
Sacatepéquez,martes,46
Chimaltenango,martes,33
Escuintla,martes,133
Santa Rosa,martes,32
Sololá,martes,9
Totonicapán,martes,11
Quetzaltenango,martes,26
Suchitepéquez,martes,12
Retalhuleu,martes,22
San Marcos,martes,15
Huehuetenango,martes,23
Quiché,martes,25
Baja Verapaz,martes,16
Alta Verapaz,martes,46
Petén,martes,23
Izabal,martes,29
Zacapa,martes,15
Chiquimula,martes,12
Jalapa,martes,10
Jutiapa,martes,28
Guatemala,miercoles,363
El Progreso,miercoles,19
Sacatepéquez,miercoles,43
Chimaltenango,miercoles,40
Escuintla,miercoles,112
Santa Rosa,miercoles,14
Sololá,miercoles,5
Totonicapán,miercoles,6
Quetzaltenango,miercoles,24
Suchitepéquez,miercoles,24
Retalhuleu,miercoles,18
San Marcos,miercoles,18
Huehuetenango,miercoles,11
Quiché,miercoles,19
Baja Verapaz,miercoles,24
Alta Verapaz,miercoles,51
Petén,miercoles,31
Izabal,miercoles,20
Zacapa,miercoles,12
Chiquimula,miercoles,12
Jalapa,miercoles,16
Jutiapa,miercoles,28
Guatemala,jueves,409
El Progreso,jueves,25
Sacatepéquez,jueves,46
Chimaltenango,jueves,30
Escuintla,jueves,135
Santa Rosa,jueves,29
Sololá,jueves,11
Totonicapán,jueves,7
Quetzaltenango,jueves,30
Suchitepéquez,jueves,32
Retalhuleu,jueves,14
San Marcos,jueves,12
Huehuetenango,jueves,10
Quiché,jueves,18
Baja Verapaz,jueves,17
Alta Verapaz,jueves,31
Petén,jueves,29
Izabal,jueves,30
Zacapa,jueves,9
Chiquimula,jueves,17
Jalapa,jueves,13
Jutiapa,jueves,27
Guatemala,viernes,516
El Progreso,viernes,19
Sacatepéquez,viernes,40
Chimaltenango,viernes,36
Escuintla,viernes,151
Santa Rosa,viernes,34
Sololá,viernes,7
Totonicapán,viernes,8
Quetzaltenango,viernes,39
Suchitepéquez,viernes,30
Retalhuleu,viernes,25
San Marcos,viernes,24
Huehuetenango,viernes,12
Quiché,viernes,21
Baja Verapaz,viernes,32
Alta Verapaz,viernes,61
Petén,viernes,23
Izabal,viernes,35
Zacapa,viernes,20
Chiquimula,viernes,11
Jalapa,viernes,11
Jutiapa,viernes,27
Guatemala,sabado,679
El Progreso,sabado,40
Sacatepéquez,sabado,75
Chimaltenango,sabado,58
Escuintla,sabado,198
Santa Rosa,sabado,50
Sololá,sabado,10
Totonicapán,sabado,8
Quetzaltenango,sabado,35
Suchitepéquez,sabado,44
Retalhuleu,sabado,31
San Marcos,sabado,23
Huehuetenango,sabado,31
Quiché,sabado,23
Baja Verapaz,sabado,27
Alta Verapaz,sabado,65
Petén,sabado,59
Izabal,sabado,50
Zacapa,sabado,23
Chiquimula,sabado,28
Jalapa,sabado,19
Jutiapa,sabado,39
Guatemala,domingo,612
El Progreso,domingo,36
Sacatepéquez,domingo,71
Chimaltenango,domingo,65
Escuintla,domingo,231
Santa Rosa,domingo,37
Sololá,domingo,18
Totonicapán,domingo,6
Quetzaltenango,domingo,30
Suchitepéquez,domingo,28
Retalhuleu,domingo,34
San Marcos,domingo,30
Huehuetenango,domingo,24
Quiché,domingo,18
Baja Verapaz,domingo,35
Alta Verapaz,domingo,63
Petén,domingo,70
Izabal,domingo,66
Zacapa,domingo,26
Chiquimula,domingo,28
Jalapa,domingo,28
Jutiapa,domingo,46
