departamento,año,lesionados
Guatemala,2020,2599
El Progreso,2020,146
Sacatepéquez,2020,217
Chimaltenango,2020,249
Escuintla,2020,503
Santa Rosa,2020,214
Sololá,2020,86
Totonicapán,2020,60
Quetzaltenango,2020,180
Suchitepéquez,2020,213
Retalhuleu,2020,206
San Marcos,2020,148
Huehuetenango,2020,144
Quiché,2020,138
Baja Verapaz,2020,139
Alta Verapaz,2020,327
Petén,2020,208
Izabal,2020,192
Zacapa,2020,148
Chiquimula,2020,174
Jalapa,2020,131
Jutiapa,2020,171
Guatemala,2021,3468
El Progreso,2021,186
Sacatepéquez,2021,269
Chimaltenango,2021,273
Escuintla,2021,610
Santa Rosa,2021,251
Sololá,2021,145
Totonicapán,2021,56
Quetzaltenango,2021,236
Suchitepéquez,2021,235
Retalhuleu,2021,228
San Marcos,2021,172
Huehuetenango,2021,139
Quiché,2021,231
Baja Verapaz,2021,153
Alta Verapaz,2021,492
Petén,2021,243
Izabal,2021,203
Zacapa,2021,179
Chiquimula,2021,187
Jalapa,2021,180
Jutiapa,2021,258
Guatemala,2022,3406
El Progreso,2022,201
Sacatepéquez,2022,380
Chimaltenango,2022,306
Escuintla,2022,791
Santa Rosa,2022,304
Sololá,2022,67
Totonicapán,2022,87
Quetzaltenango,2022,300
Suchitepéquez,2022,194
Retalhuleu,2022,222
San Marcos,2022,144
Huehuetenango,2022,165
Quiché,2022,200
Baja Verapaz,2022,200
Alta Verapaz,2022,415
Petén,2022,210
Izabal,2022,216
Zacapa,2022,135
Chiquimula,2022,155
Jalapa,2022,176
Jutiapa,2022,271
Guatemala,2023,3511
El Progreso,2023,197
Sacatepéquez,2023,386
Chimaltenango,2023,273
Escuintla,2023,1034
Santa Rosa,2023,360
Sololá,2023,109
Totonicapán,2023,89
Quetzaltenango,2023,310
Suchitepéquez,2023,223
Retalhuleu,2023,248
San Marcos,2023,242
Huehuetenango,2023,150
Quiché,2023,191
Baja Verapaz,2023,174
Alta Verapaz,2023,364
Petén,2023,222
Izabal,2023,218
Zacapa,2023,102
Chiquimula,2023,132
Jalapa,2023,143
Jutiapa,2023,243
Guatemala,2024,3516
El Progreso,2024,214
Sacatepéquez,2024,384
Chimaltenango,2024,215
Escuintla,2024,1253
Santa Rosa,2024,242
Sololá,2024,100
Totonicapán,2024,88
Quetzaltenango,2024,240
Suchitepéquez,2024,231
Retalhuleu,2024,199
San Marcos,2024,165
Huehuetenango,2024,122
Quiché,2024,200
Baja Verapaz,2024,189
Alta Verapaz,2024,434
Petén,2024,194
Izabal,2024,290
Zacapa,2024,135
Chiquimula,2024,150
Jalapa,2024,113
Jutiapa,2024,233
